CustomerID,CustomerName,Gender,Age
183,Frank Johnston,Female,54
184,Vickie Lee,Male,41
185,Sean King,Male,46
186,Jared Lee,Male,48
187,Pamela Rogers,Female,52
188,Betty Ruiz,Male,50
189,Cheryl Flynn,Male,38
190,Jerry Krause,Female,49
191,David Wallace,Male,40
192,Randy Herrera,Male,50
193,Timothy Rodriguez,Male,20
194,Justin Hinton,Male,35
195,Courtney Johnson,Male,42
196,Virginia Miller,Female,59
197,Allison Gilmore,Female,48
198,Marcus Wagner,Female,20
199,Christopher Preston,Male,57
200,John Golden,Male,41
